인물,임원직수,소속조직수,참여사건수,활동영역수,영역
오니즈카 슈이쓰,0,1,1,0,
오다 덴,0,0,1,0,
오다 리사쿠,1,1,1,1,행정
오다 센,2,1,1,0,
오다와라 류이치,0,0,1,0,
오리토 기요이치,0,1,1,0,
오무라 모토요,1,1,1,0,
오바 간이치,1,0,0,0,
오쓰카 지카미,0,0,1,0,
오에 류타로,0,1,1,0,
오우라 다스케,1,1,0,1,경제
오이케 주스케,1,0,1,1,동원
오자와 고토부키,0,0,1,0,
오자키 시즈오,3,2,4,2,경제 ·동원
오치 와스케,0,1,1,0,
오치 지에,0,0,1,0,
오치 치에코,0,1,1,0,
오카다 기하치,4,3,2,2,행정 ·동원
오카다 데쓰고로,1,1,1,1,동원
오카모토 리헤이,2,2,13,1,동원
오카모토 마사오,1,1,4,0,
오카모토 우이치,1,2,2,1,동원
오카무라 가쓰토시,0,0,1,0,
오카무라 마사오,1,1,1,0,
오카무라 하쓰노스케,0,0,1,0,
오카키 시치로,2,1,0,0,
오쿠마 시게노부,1,1,0,0,
오쿠보 다사부로,2,2,2,1,동원
오쿠보 하루노,2,0,0,0,
오쿠보 하지메,3,3,3,1,행정
오쿠이 와헤이,1,1,1,1,경제
오키타 도시타로,2,1,2,1,행정
오키타 스테지로,9,4,12,3,경제 ·언론 ·동원
오타 가쓰사부로,1,1,1,1,경제
오하라 준지,0,0,1,0,
오하타 조,1,1,0,0,
와다 유지,2,0,2,0,
와카바야시 세이스케,2,1,2,1,경제
와케 헤이지로,2,2,2,1,경제
와타나베 다케,0,0,1,0,
와타나베 도키오,0,0,1,0,
와타나베 무라오,1,1,7,1,행정
와타나베 슌조,0,0,1,0,
와타나베 스이사이,1,1,2,0,
와타나베 우조,0,0,1,0,
와타나베 히스루,9,6,14,4,행정 ·경제 ·언론 ·동원
와타나베(渡邊),1,1,0,0,
요다 고타로,1,1,3,0,
요시노 긴사쿠,1,1,0,0,
요시다 가쓰사부로,1,1,1,0,
요시다 다이조,0,1,1,0,
요시다 사시치,2,2,2,1,경제
요시다 유로쿠로,1,1,2,0,
요시다 주이치로,2,2,3,1,경제
요시모토 신지,0,0,1,0,
요시무라 가쓰타로,1,1,1,1,경제
요시오카 다다이치,1,1,1,1,언론
요시오카 도시오,0,0,1,0,
요시카와 가메키치,0,0,1,0,
요시키 도시조,1,1,1,1,행정
요시하라 군타로,0,1,1,0,
우라하마 야스타로,1,1,2,0,
우메 겐지로,1,0,1,0,
우메다 이와키,1,1,1,0,
우메자키 신타로,1,1,0,0,
우시오카 라히사,0,0,1,0,
우쓰노미야 젠이치,1,0,0,0,
우에다 겐스케,4,4,4,3,행정 ·경제 ·언론
우에다 고쿠초,1,1,2,1,언론
우에다 기사부로,0,0,1,0,
우에다 요시오,1,1,1,0,
우에마쓰 조마쓰,1,1,0,0,
우에무라 린타로,1,0,2,0,
우지노 도쿠타로,2,1,12,1,동원
우치다 로쿠로,7,7,10,2,행정 ·경제
우치야마 요네타로,0,0,1,0,
원은상,1,1,0,0,
유아사 히데토미,1,1,1,0,
육종만,1,1,0,0,
윤필오,2,1,1,0,
윤헌,1,1,0,0,
의양군,0,0,2,0,
의친왕,0,0,1,0,
이경옥,0,0,1,0,
이근택,1,0,0,0,
이근호,1,1,2,0,
이나가키 시게미치,1,1,1,1,행정
이나모토 신신,5,4,7,2,행정 ·언론
이나타 나카지,0,0,1,0,
이노 히데스케,3,3,3,2,행정 ·경제
이노우에 고사이,1,0,1,0,
이노우에 다쓰지로,2,2,4,1,경제
이노우에 산고,0,1,1,0,
이노우에 소노스케,4,3,6,1,경제
이노우에 쓰네나오,4,3,3,2,행정 ·경제
이노우에 준노스케,1,0,0,0,
이다 아키라,1,1,3,0,
이마이 다다오,1,0,1,1,동원
이병무,2,0,1,0,
이병학,1,1,2,1,경제
이사와 이와헤이,1,1,2,0,
이사카 다카시,1,0,0,0,
이상설,1,0,0,0,
이석진,2,2,2,1,경제
이시마쓰 시게키,0,1,1,0,
이시이 미쓰오,4,2,3,1,경제
이시즈카 에이조,1,1,0,0,
이시카와 구스지로,2,1,2,0,
이시카와 오쿠조,0,1,1,0,
이와나가 마지,0,1,1,0,
이와나가 젠지로,0,1,1,0,
이와사 데이조,1,0,1,0,
이와사키 다미야,1,1,1,0,
이와세 시즈카,11,10,34,4,행정 ·경제 ·언론 ·동원
이완용,4,0,1,0,
이용익,1,1,2,0,
이용직,1,1,0,0,
이우라 요시히사,1,1,1,0,
이위종,1,0,0,0,
이유인,1,1,0,0,
이윤용,1,1,0,0,
이장우,0,0,1,0,
이재곤,1,0,0,0,
이종국,3,1,1,1,경제
이준,1,0,0,0,
이중하,1,1,0,0,
이즈미 스에지,7,3,3,1,경제
이즈카 쇼이치,0,1,1,0,
이지용,1,0,0,0,
이진호,2,1,1,0,
이충구,1,1,4,0,
이치하라,1,0,1,0,
이케가미 시로,1,1,2,0,
이케다 덴지,0,0,1,0,
이케다 쓰네요시,0,1,1,0,
이케다 야스치카,0,0,1,0,
이케우치 도시,0,0,1,0,
이케우치 시게히라,1,1,1,1,행정
이케우치 야에,0,0,1,0,
