절ID,장번호,장제목,절순번,절제목,시작행,끝행,비고
109-4,109,소네 자작의 대구 방문과 감세 문제,4,3세 면제 운동,1860,1864,
110-1,110,임시한국파견대 설치,1,다시 부회장 체제,1866,1867,
110-2,110,임시한국파견대 설치,2,대한일보에 대하여,1869,1870,
110-3,110,임시한국파견대 설치,3,14연대 귀환,1872,1878,
111-1,111,발전에 공헌한 군대의 힘,1,임시파견대 도착,1881,1887,
111-2,111,발전에 공헌한 군대의 힘,2,"환송, 환영회 광경",1889,1892,
111-3,111,발전에 공헌한 군대의 힘,3,개선과 공로자,1894,1903,
112-1,112,공적을 쌓고 명성도 얻었던 이토 공의 사망,1,한국통감 경질,1906,1909,
112-2,112,공적을 쌓고 명성도 얻었던 이토 공의 사망,2,이토 공의 정책,1911,1913,
112-3,112,공적을 쌓고 명성도 얻었던 이토 공의 사망,3,한국 정부에 하직을 고하다,1915,1916,
113-1,113,대구신문사의 분란,1,노세에 대한 기억,1919,1922,
113-2,113,대구신문사의 분란,2,이나모토의 책동,1924,1925,
113-3,113,대구신문사의 분란,3,경영 악화,1927,1928,
114-1,114,이해타산 없이 신문 경영,1,독립경영 방침,1931,1939,
114-2,114,이해타산 없이 신문 경영,2,위임에서 양도로,1941,1947,
114-3,114,이해타산 없이 신문 경영,3,일생을 신문에,1949,1960,
