한글표기,한자표기,대구물어_빈도,재집계_언급수,등장단락수,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,병합된_이표기
오바 지로키치,大塲治郎吉,3,6,3,0,0,0,0,오바 지로키치(大場次郎吉)
오쿠보 다사부로,大久保太三郎,3,6,3,0,1,0,0,
오쿠보 하지메,大久保肇,3,6,3,0,1,0,0,
요다 고타로,依田廣太郎,3,6,3,0,0,0,0,
요시하라 군타로,吉原軍太郎,3,6,3,0,1,1,0,
우라하마 야스타로,浦濱安太郎,2,6,2,0,0,0,0,
우에다 고쿠초,上田黒潮,2,6,2,0,1,0,0,
이다 아키라,飯田章,2,6,4,1,0,0,0,
이즈카 쇼이치,飯束昇一,2,6,1,1,0,0,0,
가야모리 세이타로,柏森精太郎,2,5,3,0,0,0,0, | 병합: 가야모리 세이타로(栢森精太郎)
고우라 도노마루,高羅殿丸,3,5,4,0,0,0,0,
기쿠치 겐조,菊池謙譲,2,5,3,1,0,0,0,
나가에 요시마사,長泳義正,2,5,2,0,0,0,0,나가히 요시마사(長氷義正)
나카기리 하루타로,中桐春太郎,2,5,3,0,0,0,0,
나카무라 기이치,中村喜一,2,5,2,0,1,0,0,
니시야마 쓰루키치,西山鶴吉,2,5,2,0,0,0,0,
니시야마 유스케,西山熊助,2,5,2,0,0,0,0,
모리야 다쓰조,守屋達城,1,5,3,0,0,0,0,
사카모토 준,坂本淳,0,5,2,0,0,0,1,출처: 조선대구일반 p.120 — 1907 대구실업신문 인수 시도
사토 겐쇼,佐藤玄性,2,5,2,1,0,1,0,
서병오,徐丙五,2,5,3,1,0,0,0,
스즈키 하치로,鈴木八郎,2,5,3,0,0,1,0,
시모즈 사부로,下津三郎,1,5,2,1,1,1,1,
시오카와 이치타로,鹽川一太郎,2,5,3,1,0,0,0,
아리요시 아키라,有吉明,1,5,2,1,0,0,0,
야기 마쓰다로,八木松太郎,4,5,4,0,0,0,0,
야마와키 쇼사쿠,山脇正作,2,5,2,0,1,0,0,
오노 쇼자부로,大野庄三郎,2,5,2,0,0,0,0,
윤필오,尹弼五,1,5,3,1,1,0,0,
이사와 이와헤이,井澤岩平,2,5,3,0,0,0,0,
이윤용,李允用,0,5,2,1,0,0,0,신규: 관찰사(본문 440 열거)
이쿠하시 요네사부로,生橋米三郎,1,5,3,0,0,0,0, | 병합: 이쿠하시 요네지로(生橋米次郎)
하라타 다카히로,原田隆弘,1,5,1,1,0,0,0,
하야시 곤스케,林権助,2,5,3,0,0,0,0,하야시 곤스케(林權助)
하야시 다다스,林董,0,5,2,0,0,0,0,신규: 외무대신(단락 849)
