한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
나카무라 헤이시로,中村平四郎,일본인,8,4,29,1905,1904-1907,,,,,0,0,0,1,미나카이 잡화점 공동 개설,,,,,,조선대구일반(1911),미나카이 잡화점 공동 개설. p.242.,,,,,,,,,조선대구일반(1911) pp.242,,,미나카이 잡화점 공동 개설,조선대구일반(1911) pp.242,,
나카오지 마사오,中大路正雄,일본인,8,5,607,1907,1905-1907,,,,,1,0,0,0,,,,,,,,,대구이사청 초대 이사관(1907.8 목포 전임),대구민단사(1915) p.188,,,,,,,,,,대구이사청 초대 이사관(1907.8 목포 전임),대구민단사(1915) p.188,,
노세 다쓰고로,能勢辰五郎,일본인,8,4,1340,1909,1907-1909,,,,1909(단락1383),1,0,0,1,대구이사청 이사관,,,,,1909,조선대구일반(1911),대구이사청 이사관. pp.288~289. ※한자 판독 다소 불확실.,,,,,,,,,조선대구일반(1911) pp.288~289,,대구물어(1930) 1909(단락1383),대구이사청 이사관,조선대구일반(1911) pp.288~289,,
도쿠히사 요네조,德久米藏,일본인,8,4,18,1905,1905-1906,거류민회,,,,1,0,0,0,,,,,,,,,대일본거류민회 초대 회장(부산 전출로 사임),대구민단사(1915) p.24,,,,,,,,,,대일본거류민회 초대 회장(부산 전출로 사임),대구민단사(1915) p.24,,
미와 야키치,三輪彌吉,일본인,8,4,662,1907,1906-1907,,,,,0,0,0,0,과수 재배,,,,,,조선대구일반(1911),과수 재배. p.216.,,,,,,,,,조선대구일반(1911) pp.216,,,과수 재배,조선대구일반(1911) pp.216,,
아쿠타가와 다다시,野田正,일본인,8,1,229,1905,1905-1905,,,,,0,1,0,0,,,,,,,,,대구실업신문 주필→부산일보 사장; 『대구안내』(1906) 저자,대구안내(1918) p.168,,,,,,,,,,대구실업신문 주필→부산일보 사장; 『대구안내』(1906) 저자,대구안내(1918) p.168,,
야마다 야헤이지,山田彌平治,일본인,8,4,310,1906,1905-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
와타나베 스이사이,渡邊水哉,일본인,8,4,1356,1907,1907-1907,,,,,0,0,1,0,,,,,,,,,조선파견대 사령관(육군 소장),경북요람(1910년대) p.218,,,,,,,,,,조선파견대 사령관(육군 소장),경북요람(1910년대) p.218,,
요시다 사시치,吉田佐七,일본인,8,4,508,1907,1906-1909,,,,,1,1,1,0,,,,,,,,,여관업,경북요람(1910년대) p.239,,,,,,,,,,여관업,경북요람(1910년대) p.239,,
요시다 유로쿠로,吉田雄六郎,일본인,8,5,1118,1908,1908-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우에다 겐스케,上田謙助,일본인,8,4,886,1907,1907-1908,,,,,1,0,1,1,"우에다 포목점(上田吳服店, 모토마치)",야마구치 현,1904,,야마구치 현,1904,조선대구일반(1911),"우에다 포목점(上田吳服店, 모토마치). 야마구치 현 구마게 군 마리후, 1904.8 대구(점원 파견 지점→직영). 1909.3 상업회의소 의원. pp.191~192. ※초기 판독 '鎌助'는 오독 — CSV(대구물어) 표기 上田謙助로 확정.",,,,,,,,,조선대구일반(1911) pp.191~192,조선대구일반(1911) pp.191~192,조선대구일반(1911) pp.191~192,"우에다 포목점(上田吳服店, 모토마치)",조선대구일반(1911) pp.191~192,,
이노 히데스케,井野英助,일본인,8,4,20,1905,1905-1909,거류민회; 대구상업회의소,24세(단락28),,,1,0,0,0,,,,,,,대구물어,,,,,,,,,,,,,,,,
이석진,李錫珍,조선인,8,4,399,1906,1906-1907,,,,,1,0,1,0,,,,,,,,,대구농공은행장; 대구수형조합 조합장,경북요람(1910년대) p.219,,,,,,,,,,대구농공은행장; 대구수형조합 조합장,경북요람(1910년대) p.219,,
