한글표기,한자표기,민족,언급수,등장단락수,첫등장단락,주활동연도,활동연도범위,단체소속,연령후보_대구물어,출신후보_대구물어,도래후보_대구물어,민단사매칭,안내매칭,요람매칭,조선대구일반매칭,직업_조선대구일반,출신지_조선대구일반,도래연도_조선대구일반,연령_조선대구일반,출신지_확정,도래연도_확정,속성출전,조선대구일반_소개(발췌),직업_보조자료,직업_보조출전,출신지_보조자료,출신지_보조출전,도래연도_보조자료,도래연도_보조출전,생년,생년_출전,조선대구일반_출전,출신지_확정출전,도래연도_확정출전,직업_확정,직업_확정출전,관찰사재임_대구부사,관찰사재임_출전
오자와 고토부키,小澤壽,일본인,2,1,1206,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오카다 데쓰고로,岡田鐵五郞,일본인,2,1,58,1905,1905-1905,임시일본인대회,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오카무라 가쓰토시,岡村克已,일본인,2,1,1311,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오쿠마 시게노부,大隈重信,일본인,2,1,678,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오쿠보 하루노,大久保春野,일본인,2,1,1349,1907,1907-1907,,,,,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
오쿠이 와헤이,奥井和平,일본인,2,1,323,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
오타 가쓰사부로,太田勝三郎,일본인,2,1,131,1905,1905-1905,,,,,0,0,0,1,"삼랑진 우편소 소장, 오이타 현 사가세키, 1903 가을 도한",오이타 현,1903,,오이타 현,1903,조선대구일반(1911),"삼랑진 우편소 소장, 오이타 현 사가세키, 1903 가을 도한. pp.282~283.",,,,,,,,,조선대구일반(1911) pp.282~283,조선대구일반(1911) pp.282~283,조선대구일반(1911) pp.282~283,"삼랑진 우편소 소장, 오이타 현 사가세키, 1903 가을 도한",조선대구일반(1911) pp.282~283,,
오하라 준지,小原遵路,일본인,2,1,1284,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
와타나베 다케,渡邊タケ,일본인,2,1,1299,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
와타나베 도키오,渡邊時雄,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
와타나베 슌조,渡邊春三,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
와타나베 우조,渡邊烏城,일본인,2,1,609,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시노 긴사쿠,吉野金作,일본인,2,1,739,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시다 가쓰사부로,吉田勝三郎,일본인,2,1,1369,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시다 다이조,吉田太三,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시모토 신지,吉本信次,일본인,2,1,1303,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시무라 가쓰타로,嘉村勝太郎,일본인,2,1,310,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시무라 시즈오,吉村鎭雄,일본인,2,1,1292,1909,1909-1909,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
요시오카 고잔,吉岡香山,일본인,2,1,1094,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시오카 도시오,吉岡敏雄,일본인,2,1,1303,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시카와 가메키치,吉川亀吉,일본인,2,1,330,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
요시키 도시조,吉木利造,일본인,2,1,24,1905,1905-1905,거류민회,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우메다 이와키,梅田岩樹,일본인,2,1,1357,1907,1907-1907,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
우메자키 신타로,梅崎辰太郎,일본인,2,1,733,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우시오카 라히사,潮嘉良久,일본인,2,1,394,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우에다 리키마쓰,上田力松,일본인,2,1,708,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
우에마쓰 조마쓰,上松長松,일본인,2,1,788,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
원은상,元殷常,조선인,2,1,772,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
육종만,陸鍾晚,조선인,2,1,765,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
윤헌,尹憲,조선인,2,1,440,1906,1906-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1904.3~1904.8(태왕41년 갑진) ※자형 尹瀗/瑬 판독 주의,대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
이나가키 시게미치,稲垣重道,일본인,2,1,368,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이나타 나카지,稲田仲次,일본인,2,1,330,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이노우에 고사이,井上孝哉,일본인,2,1,1215,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이노우에 산고,井上三綱,일본인,2,1,344,1904,1904-1904,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
이노우에 준노스케,井上準之助,일본인,2,1,625,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이마이 다다오,今井忠雄,일본인,2,1,795,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이사카 다카시,井坂孝,일본인,2,1,625,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이시마쓰 시게키,石松繁木,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이시즈카 에이조,石塚英藏,일본인,2,1,955,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이시카와 오쿠조,石川奥蔵,일본인,2,1,339,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이와나가 마지,岩永馬二,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이와나가 젠지로,岩永善次郎,일본인,2,1,339,1904,1904-1904,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
이와사 데이조,岩佐程三,일본인,2,1,1215,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이와사키 다미야,岩崎民哉,일본인,2,1,486,1906,1906-1906,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
이와야 마쓰헤이,岩谷松平,일본인,2,1,396,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이용직,李容直,조선인,2,1,440,1906,1906-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이유인,李裕寅,조선인,2,1,440,1906,1906-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1901.1~1901.12(태왕38년 신축),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
이재곤,李載崑,조선인,2,2,821,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이종국,,조선인,2,1,370,1905,1905-1905,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
이중하,李重夏,조선인,2,1,440,1906,1906-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1895~1896(태왕32년 을미~33년 병신),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.282
이케다 덴지,池田傅次,일본인,2,1,1297,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이케다 쓰네요시,池田常吉,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이케다 야스치카,池田泰親,일본인,2,1,1372,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이케우치 도시,池内トシ,일본인,2,1,1309,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이케우치 시게히라,池内重平,일본인,2,1,886,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이케우치 야에,池内ヤエ,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이쿠하시 도시코,生橋トシ子,일본인,2,1,1303,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이토 구마사부로,伊藤熊三郎,일본인,2,1,803,1907,1907-1907,,,,,0,0,0,1,포도 관련,,,,,,조선대구일반(1911),포도 관련. p.220.,,,,,,,,,조선대구일반(1911) pp.220,,,포도 관련,조선대구일반(1911) pp.220,,
이토 요시,伊藤ヨシ,일본인,2,1,1311,1909,1909-1909,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
이헌영,李憲永,조선인,2,1,440,1906,1906-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,경상북도관찰사 1902.6~1903.8(태왕39년 임인~40년 계묘),대구부사(1943) 제1편 연혁편 부록 慶尙道監司任遞表 p.283
임선준,任善準,조선인,2,2,819,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
전우,田愚,조선인,2,1,394,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
정재학,鄭在學,조선인,2,2,895,1908,1907-1908,,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
조병호,趙秉鎬,조선인,2,1,440,1906,1906-1906,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
조중응,趙重應,조선인,2,2,824,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
최만달,,조선인,2,2,279,1909,1905-1909,,,,,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하나부사 요시토모,花房義質,일본인,2,1,900,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하나사키 기사부로,濱崎喜三郎,일본인,2,1,1319,1909,1909-1909,,,,1918(단락1319),0,0,0,0,,,,,,1918,대구물어,,,,,,,,,,,,대구물어(1930) 1918(단락1319),,,,
하나이 다쿠조,花井卓蔵,일본인,2,1,464,1906,1906-1906,,,도쿄(단락464),,0,0,0,1,,,,,도쿄,,대구물어,,,,,,,,,,,대구물어(1930) 도쿄(단락464),,,,,
하라 신스케,原辰助,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하라 이와타로,原岩太郎,일본인,2,1,1260,1909,1909-1909,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
하라다 기이치,原田儀一,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하라타 요시조,原田由蔵,일본인,2,1,302,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하마구치 오사치,濱口雄幸,일본인,2,1,625,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하세가와 가메타로,長谷川亀太郎,일본인,2,1,1345,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하세가와 다이치,長谷川太一,일본인,2,1,1311,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하야시 이치리키,林一力,일본인,2,1,1372,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하야시 이치조,林市藏,일본인,2,1,1215,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하야시 한스케,林半祐,일본인,2,1,1369,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
하치야 겐,蜂屋謙,일본인,2,1,793,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
호다 슈,補田秀,일본인,2,1,1307,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
호리케 도라조,堀家虎藏,일본인,2,1,1319,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
호시 도루,星亨,일본인,2,1,216,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
호쿠조 준조,北條順藏,일본인,2,1,344,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
혼다 고스케,本田孝介,일본인,2,1,657,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후루쇼 야스요,古莊安代,일본인,2,1,1297,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후루야(이토 수행원),古谷,일본인,2,1,908,1907,1907-1907,,,,,1,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
후리하타 기요미,降旗清美,일본인,2,1,1206,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후와 다로시치,不破太郎七,일본인,2,1,1369,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후지오카 요시오,藤岡嘉郎,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후지타 다카시,藤田豐,일본인,2,1,1309,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
후쿠타 마스베,福田増兵衛,일본인,2,1,140,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
히라사와 이와타로,平澤岩太郎,일본인,2,1,381,1905,1905-1905,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
히로노 사쿠지로,弘野作次郎,일본인,2,1,1336,1909,1909-1909,,,,,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,
히로우치 도시,廣内トシ,일본인,2,1,1305,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
히로우치 시게키치,廣内繁吉,일본인,2,1,786,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
히지카타 기요시,土方淸,일본인,2,1,1367,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
권중현,權重顯,조선인,1,1,332,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
기삼연,奇參衍,조선인,1,1,878,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
김갑진,,조선인,1,1,1229,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
김영필,,조선인,1,1,879,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
나스 도시오,那須敏男,일본인,1,1,46,1905,1905-1905,,,,,0,0,0,1,"나스 의원(那須醫院, 야마토초) 원장",구마모토 현,1904,,구마모토 현,1904,조선대구일반(1911),"나스 의원(那須醫院, 야마토초) 원장. 구마모토 현, 구마모토 의전 졸(1909), 군의생 복무 후 1910.3 개업. 선대 준사쿠(準策) 옹은 1904.6 대구 개업. pp.189~190.",,,,,,,,,조선대구일반(1911) pp.189~190,조선대구일반(1911) pp.189~190,조선대구일반(1911) pp.189~190,"나스 의원(那須醫院, 야마토초) 원장",조선대구일반(1911) pp.189~190,,
노기 마레스케,乃木希典,일본인,1,1,55,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
민영기,閔泳綺,조선인,1,1,332,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
사이토 마코토,,일본인,1,1,1079,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
서봉기,,조선인,1,1,1229,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
신현구,,조선인,1,1,449,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마가타 아리토모,山縣有朋,일본인,1,1,412,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
야마구치 마츠에,山口松嵛,일본인,1,1,609,1907,1907-1907,,,,,0,0,0,1,"본왜관 거주, 관호학교(觀湖學校) 설립·조선인 교육, 왜관곡물구매조합 사무주임",,,,,,조선대구일반(1911),"본왜관 거주, 관호학교(觀湖學校) 설립·조선인 교육, 왜관곡물구매조합 사무주임. pp.278~279. ※한자 끝 글자(嵛) 판독 불확실.",,,,,,,,,조선대구일반(1911) pp.278~279,,,"본왜관 거주, 관호학교(觀湖學校) 설립·조선인 교육, 왜관곡물구매조합 사무주임",조선대구일반(1911) pp.278~279,,
야마다(수비대장),,일본인,1,1,127,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이경옥,,조선인,1,1,1229,1909,1909-1909,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이근택,李根澤,조선인,1,1,332,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이장우,,조선인,1,1,1229,1909,1909-1909,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,
이지용,李址鎔,조선인,1,1,332,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이진사,,조선인,1,1,878,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
이진호,李軫鎬,조선인,1,1,889,1907,1907-1907,,,,,1,1,1,0,,,,,,,,,경상북도장관,경북요람(1910년대) p.218,,,,,,,,,,경상북도장관,경북요람(1910년대) p.218,,
이하영,李夏榮,조선인,1,1,332,1905,1905-1905,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
장지연,張志淵,조선인,1,1,854,1906,1906-1906,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
차도선,車道善,조선인,1,1,878,1907,1907-1907,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
한상룡,韓相龍,조선인,1,1,1216,1908,1908-1908,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
히다카(출장원),,일본인,1,1,275,1904,1904-1904,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
고타카 지로,小高二郎,일본인,0,0,,,,,,,,0,0,0,1,"제일은행원, 한국척식주식회사(경산) 창립",,,,,,조선대구일반(1911),"제일은행원, 한국척식주식회사(경산) 창립. pp.276~277.",,,,,,,,,조선대구일반(1911) pp.276~277,,,"제일은행원, 한국척식주식회사(경산) 창립",조선대구일반(1911) pp.276~277,,
구라카즈 히코사부로,倉員彦三郎,일본인,0,0,,,,,,,,0,0,0,1,왜관 곡물상 5인조,,,,,,조선대구일반(1911),왜관 곡물상 5인조. p.279. ※員/貝 판독 불확실.,,,,,,,,,조선대구일반(1911) pp.279,,,왜관 곡물상 5인조,조선대구일반(1911) pp.279,,
기요미야 센노스케,清宮仙之助,일본인,0,0,,,,,,,,0,0,0,1,"대구경찰서 경부, 『동경지(東京誌)』 조사",,,,,,조선대구일반(1911),"대구경찰서 경부, 『동경지(東京誌)』 조사. p.285.",,,,,,,,,조선대구일반(1911) pp.285,,,"대구경찰서 경부, 『동경지(東京誌)』 조사",조선대구일반(1911) pp.285,,
다마무라 요네지로,玉村米太郎,일본인,0,0,,,,,,,,0,0,0,1,"다마무라 서점(玉村書店, 모토마치 1정목)",,1906,,,1906,조선대구일반(1911),"다마무라 서점(玉村書店, 모토마치 1정목). 1906.8 도한, 동인의원 고용인 2년 후 1909.1 서점 개업. pp.250~251.",,,,,,,,,조선대구일반(1911) pp.250~251,,조선대구일반(1911) pp.250~251,"다마무라 서점(玉村書店, 모토마치 1정목)",조선대구일반(1911) pp.250~251,,
마츠바라 요네키치,松原米吉,일본인,0,0,,,,,,,,0,0,0,1,왜관 곡물상 5인조,,,,,,조선대구일반(1911),왜관 곡물상 5인조. p.279. ※한자 '米吉' 판독 다소 불확실.,,,,,,,,,조선대구일반(1911) pp.279,,,왜관 곡물상 5인조,조선대구일반(1911) pp.279,,
모리 겐키치,,일본인,0,0,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,
모리 고이치,森熙一,일본인,0,0,,,,,,,,0,0,0,1,왜관 상업(1904.4~),,,,,,조선대구일반(1911),왜관 상업(1904.4~). pp.278~279.,,,,,,,,,조선대구일반(1911) pp.278~279,,,왜관 상업(1904.4~),조선대구일반(1911) pp.278~279,,
소다 고하치,相田小八,일본인,0,0,,,,,,,,0,0,0,1,"주지도 의원(十字堂醫院, 동성정) 원장",나가사키 현,1910,,나가사키 현,1910,조선대구일반(1911),"주지도 의원(十字堂醫院, 동성정) 원장. 나가사키 현 오무라초, 오카야마 의학전문학교 졸, 1910.3.1 대구 개업. pp.243~244. ※'소다' 표기는 번역서 원문 그대로(相田).",,,,,,,,,조선대구일반(1911) pp.243~244,조선대구일반(1911) pp.243~244,조선대구일반(1911) pp.243~244,"주지도 의원(十字堂醫院, 동성정) 원장",조선대구일반(1911) pp.243~244,,
시모야마 세이치로,下山淸一郎,일본인,0,0,,,,,,,,0,0,0,1,법률사무소(히가시혼마치 1정목) 변호사,미에 현,1908,,미에 현,1908,조선대구일반(1911),"법률사무소(히가시혼마치 1정목) 변호사. 미에 현 우에노, 1908.6 대구. pp.246~247.",,,,,,,,,조선대구일반(1911) pp.246~247,조선대구일반(1911) pp.246~247,조선대구일반(1911) pp.246~247,법률사무소(히가시혼마치 1정목) 변호사,조선대구일반(1911) pp.246~247,,
야마우치 세사부로,山内淸三郎,일본인,0,0,,,,,,,,0,0,0,1,"왜관(1904.4~), 철도공사 이전 정주",,1904,,,1904,조선대구일반(1911),"왜관(1904.4~), 철도공사 이전 정주. pp.278~279.",,,,,,,,,조선대구일반(1911) pp.278~279,,조선대구일반(1911) pp.278~279,"왜관(1904.4~), 철도공사 이전 정주",조선대구일반(1911) pp.278~279,,
오쿠무라 지스케,奧村治助,일본인,0,0,,,,,,,,0,0,0,1,왜관 곡물상 5인조,,,,,,조선대구일반(1911),왜관 곡물상 5인조. p.279.,,,,,,,,,조선대구일반(1911) pp.279,,,왜관 곡물상 5인조,조선대구일반(1911) pp.279,,
우메오카 도시오,梅岡敏夫,일본인,0,0,,,,,,,,0,0,0,1,경주 일본인회 회장,,,,,,조선대구일반(1911),경주 일본인회 회장. p.286.,,,,,,,,,조선대구일반(1911) pp.286,,,경주 일본인회 회장,조선대구일반(1911) pp.286,,
하시즈메 요시미,橋詰好,일본인,0,0,,,,,,,,0,0,0,1,"삼랑진 일본인회 회장, 식산사업",,,,,,조선대구일반(1911),"삼랑진 일본인회 회장, 식산사업. p.282.",,,,,,,,,조선대구일반(1911) pp.282,,,"삼랑진 일본인회 회장, 식산사업",조선대구일반(1911) pp.282,,
호리이에 도라조,堀家虎造,일본인,0,0,,,,,,,,0,0,0,1,"한국척식회사 지배인(경산), 전 일본인회 회장, 가가와 현, 전 국회의원",가가와 현,,,가가와 현,,조선대구일반(1911),"한국척식회사 지배인(경산), 전 일본인회 회장, 가가와 현, 전 국회의원. p.277.",,,,,,,,,조선대구일반(1911) pp.277,조선대구일반(1911) pp.277,,"한국척식회사 지배인(경산), 전 일본인회 회장, 가가와 현, 전 국회의원",조선대구일반(1911) pp.277,,
히사노 도시오,久野敏雄,일본인,0,0,,,,,,,,0,0,0,1,"히사노 의원(久野醫院, 동성정) 원장",후쿠오카 현,1907,,후쿠오카 현,1907,조선대구일반(1911),"히사노 의원(久野醫院, 동성정) 원장. 후쿠오카 현 다자이후, 1907.10 대구. pp.248~249.",,,,,,,,,조선대구일반(1911) pp.248~249,조선대구일반(1911) pp.248~249,조선대구일반(1911) pp.248~249,"히사노 의원(久野醫院, 동성정) 원장",조선대구일반(1911) pp.248~249,,
